,lung_120703455737772,lung_120797944565173,lung_120864470392101,lung_121276833323293,lung_121339884722485,lung_121339897047965,lung_121742703615326,lung_121812449905886,lung_121826155313891,lung_121879171586972,lung_121896114240934,lung_121955406436700,lung_121965741763364,lung_121965753882467,lung_122310443846067,lung_122310443849451,lung_122514723257780,lung_125042427128691,lung_125247350815068,lung_125677935389931,lung_126132141050213,lung_126227588798388,lung_126293980600108,lung_126294007139038,lung_126364088425395,lung_126765635942699,lung_126834206501283,lung_126835173222750,lung_126835192163611,lung_129582986114909,lung_129582999977204,lung_129978390755171,lung_130126433179883,lung_130126433344310,lung_130134888537515,lung_130134934677915,lung_130134934775534,lung_130144701462261,lung_130184147323235,lung_130185503821043,lung_130185516182238,lung_130531368061814,lung_130693115296606,lung_130754483964276,lung_131217381873388,lung_131242051132852,lung_131293502920926,lung_131309590173924,lung_131310502233966,lung_131310516821300,lung_133895282085294,lung_134041188887797,lung_134377538800357,lung_134522331846563,lung_134530788116404,lung_134592140529052,lung_134592152616286,lung_134936708148149,lung_135014240668005,lung_135064437284148,lung_135150516980532,lung_135571539183467,lung_155888882174821,lung_156463334549419,lung_156933486460150,lung_157004366240046,lung_157140462488949,lung_157536914958171,lung_157562565160179,lung_157684165929246,lung_160440058276636,lung_160447855742260,lung_160785145118051,lung_160928745769709,lung_160996537846628,lung_161340108228892,lung_161411779906990,lung_161411794655588,lung_161451926571875,lung_161451938539380,lung_161462694595997,lung_161548575918819,lung_161889623067566,lung_161890983394550,lung_161960476960604,lung_161960489859811,lung_164769504807862,lung_165232422312308,lung_165738987277723,lung_165851864648620,lung_165858459998516,lung_165860293068635,lung_165945535589219,lung_165945548160246,lung_166290878285670,lung_166400399403294,lung_166400399424749,lung_166416939674397,lung_169014053227307,lung_169022508120926,lung_169151740892894,lung_169723749579117,lung_169795584179422,lung_169795602541285,lung_170181075819811,lung_170198358476645,lung_170198389962598,lung_170258519473387,lung_170268049436020,lung_170276754147637,lung_170327461739307,lung_170327489039587,lung_170660053011691,lung_170745952652212,lung_170745966779315,lung_191210559231862,lung_191210578435302,lung_191553887656822,lung_191576436525812,lung_191645424478966,lung_191691433590197,lung_191708928337772,lung_192255431399206,lung_192255444020021,lung_192255462881701,lung_192306956102443,lung_192315305441654,lung_192653641079582,lung_192653667974387,lung_192729635208435,lung_192729635477366,lung_192745862751982,lung_192806944468189,lung_195562288405916,lung_195606477399902,lung_195623341935838,lung_195623342458804,lung_195958617888539,lung_195958632791403,lung_196043624278811,lung_196163883157861,lung_196174320940982,lung_196180775713203,lung_196638177114038,lung_196715499076957,lung_199865979263707,lung_199944393677021,lung_200348209428846,lung_200363927071003,lung_200416706545563,lung_200563790330269,lung_200899038735195,lung_200922553608947,lung_200974112079219,lung_201111654550308,lung_201465598764918,lung_201474322623406,lung_201670671063476,lung_204213425493811,lung_204224162884381,lung_204351804427502,lung_204360540641516,lung_204427100839326,lung_204816900307758,lung_204825309702579,lung_204825356359907,lung_204954158718236,lung_204954173139683,lung_205381657053102,lung_205527698265966,lung_205527698761436,lung_226205971364765,lung_226283249842421,lung_226283280592094,lung_226283280874396,lung_226394649774429,lung_226394682013998,lung_226806174203230,lung_226883188222197,lung_226901487906014,lung_226949760182646,lung_226949806345564,lung_226953398511388,lung_226958798351156,lung_227284928547741,lung_227363580140462,lung_227425427873188,lung_227425442260723,lung_227493119933292,lung_227846649232742,lung_227921630455643,lung_227921644861804,lung_227975332486373,lung_227982982670643,lung_227982995578077,lung_228042051074483,lung_230611649776860,lung_230732687075611,lung_230741410470238,lung_230799393311669,lung_230799420611891,lung_230799439218926,lung_231270811549083,lung_231340573408620,lung_231340586448686,lung_231692907957037,lung_231822802671523,lung_231890194722092,lung_231897723423645,lung_231907674479398,lung_232318617931171,lung_232321019661612,lung_232327488912163,lung_232327488915820,lung_232328313353972,lung_232450567072174,lung_235199318579619,lung_235214350530403,lung_235548446186331,lung_235601971791796,lung_235695817059229,lung_235697696295156,lung_236167177592156,lung_236176872204126,lung_236177511864749,lung_236288406906734,lung_236288407398702,lung_236633998636958,lung_236639623470003,lung_236650078059253,lung_236768055684005,lung_239382663129909,lung_239448249251622,lung_239458074683637,lung_239468531108571,lung_239475361430452,lung_239587849845165,lung_239587882035038,lung_240001509407467,lung_240136785616165,lung_240136800389486,lung_240490718055789,lung_240490764426083,lung_240617687730611,lung_241057653704621,lung_241098904426356
RACK1,2,17,52,15,66,2,16,3,10,13,38,0,6,6,10,2,10,36,54,4,18,24,18,2,0,49,16,28,12,20,8,15,22,57,23,16,0,39,20,16,66,58,3,0,52,16,0,45,2,150,1,5,15,18,3,17,67,0,22,89,18,72,9,3,26,55,8,13,27,10,47,8,0,53,37,18,15,30,36,8,47,24,15,3,11,20,12,32,0,42,98,13,43,7,2,0,12,5,33,52,18,48,11,0,14,71,23,33,9,86,0,27,3,14,2,51,32,16,62,8,7,33,23,1,27,28,23,69,30,19,2,35,6,3,20,48,84,24,6,4,15,22,41,2,15,0,0,19,21,102,49,9,10,10,28,0,20,111,7,3,8,18,35,0,2,54,52,12,2,0,18,2,11,53,40,15,6,10,96,2,3,21,35,28,0,19,18,12,1,37,15,0,31,13,24,32,22,1,2,1,8,14,17,9,6,16,21,35,31,77,31,2,2,1,7,18,14,22,10,2,4,28,14,11,3,28,26,27,11,32,103,16,48,72,3,1,16,31,45,101,21,8,29,2,13,10
MCFD2,2,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,3,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,3,0,1,0,0,0,2,0,0,2,0,0,0,1,1,1,0,0,4,0,1,4,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,2,0,1,1,2,1,0,0,1,0,2,0,1,0,1,2,1,1,0,0,0,0,1,1,2,0,3,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0,0,0,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,2,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,2,2,3,0,0,0,0,0,0,0,0,4,2,1,2,1,0,0
SAA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FKBP2,1,8,3,2,13,2,5,0,1,1,2,0,1,1,2,1,6,1,10,2,3,3,4,3,0,27,2,6,13,0,0,7,1,5,2,3,1,3,7,13,21,12,3,0,21,7,0,11,0,31,0,0,12,5,3,6,8,0,1,30,1,27,1,1,16,15,2,1,4,2,12,0,0,15,21,0,1,4,5,1,14,1,0,1,6,4,1,10,0,2,18,3,9,1,0,0,4,1,11,27,1,7,7,1,3,12,4,4,0,20,0,7,1,11,1,10,0,1,8,2,2,14,2,0,3,0,3,11,9,2,1,7,6,1,0,26,14,4,2,0,1,2,9,1,1,0,0,0,1,29,6,6,6,1,5,0,0,14,3,2,2,14,4,3,0,15,7,7,0,0,6,1,3,13,3,1,1,1,15,2,0,1,10,4,0,6,4,1,1,6,0,0,5,3,2,8,2,0,0,1,1,1,0,7,5,2,13,10,4,16,2,2,1,0,4,7,1,4,0,0,0,9,1,1,0,2,3,3,3,1,16,6,8,8,2,0,4,8,8,15,7,9,11,0,2,2
CPM,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,2,0,0,0,0,4,1,0,0,4,1,1,1,0,0,0,3,0,0,2,0,0,3,0,15,0,1,4,0,0,1,0,0,0,1,0,0,0,5,1,2,0,0,0,0,5,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,3,0,0,0,1,0,2,0,0,3,0,0,1,4,1,0,0,0,1,0,1,0,1,0,1,0,3,2,3,0,0,1,4,0,0,0,0,0,0,0,5,0,0,3,0,1,0,0,4,1,3,2,0,0,0,0,1,0,2,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,2,0,0,0,0,3,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,5,9,0,0,2,0,1,0
AKR1C3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,39,0,0,4,0,1,0,1,3,0,1,5,19,0,0,0,0,1,0,1,2,0,0,0,0,0,10,0,0,3,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6,1,0,0,1,0,17,36,0,0,1,0,1,7,0,2,0,1,0,1,0,0,0,10,0,0,50,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,32,2,13,1,0,0,0,14,0,0,1,0,0,0,23,1,1,1,0,0,0,0,21,1,0,0,9,0,0,0,5,1,0,0,0,4,0,6,1,0,0,0,1,20,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,0,6,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,32,0,9,21,0,0,0,0,0,6,0,0,17,0,0,0
SFTPA2,0,0,58,0,3,6,0,0,9,0,0,1,0,0,0,0,1,1,18,0,0,0,0,0,0,0,0,2,4,0,0,0,0,40,0,0,0,1,0,35,2,3,0,0,5,0,0,1,0,47,0,0,160,0,17,0,0,0,0,46,0,45,0,0,1,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,35,0,0,0,23,0,0,0,0,1,116,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,150,0,9,0,2,0,0,0,0,1,0,0,36,0,0,0,0,0,0,3,10,0,19,0,3,0,6,1,2,0,0,0,0,0,0,0,0,0,1,0,0,20,1,17,1,6,0,0,0,6,0,1,0,1,0,1,8,0,10,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,4,0,24,22,0,38,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,37,1,0,0,0
RPS3A,2,29,99,48,117,2,13,0,8,15,113,0,8,14,30,27,8,86,107,13,47,66,39,11,4,89,20,61,13,60,38,15,27,141,35,42,1,64,73,16,69,126,3,1,108,26,0,109,1,281,1,6,37,51,8,29,94,0,37,125,33,175,17,0,42,175,23,35,64,30,84,10,1,98,92,34,49,46,58,12,135,75,21,5,22,29,22,76,0,85,180,27,74,28,1,1,15,22,63,93,44,104,10,0,20,166,35,49,21,185,3,44,10,21,12,70,59,22,92,14,11,51,33,3,41,39,52,96,52,25,2,48,11,1,33,79,101,86,16,3,31,31,73,10,25,2,0,42,106,121,87,17,7,24,63,3,32,188,17,9,18,24,90,6,11,94,96,17,7,0,21,2,11,79,85,36,11,18,180,5,12,13,107,33,9,43,30,41,5,58,15,1,73,40,24,90,24,1,2,2,11,14,25,22,13,59,24,101,37,122,66,4,23,1,8,82,23,47,18,0,3,46,34,18,5,35,34,57,23,66,141,44,82,107,0,0,41,52,18,200,43,14,43,3,19,45
SCGB3A1,1,113,794,3,808,1,4,1,351,2,3,0,1,2,6,1,107,158,356,1,5,1,8,1,7,247,4,157,560,2,4,2309,4,255,4,7,2,7,10,618,2456,304,171,26,3929,63,0,591,124,6688,22,51,109,7,13,801,658,4,3,51,3,67,3,94,356,54,1,5,1,5,581,2,10,456,4246,1,2,5,10,1,372,3,3,5,87,0,2,718,59,11,17,3,633,91,14,0,1,4,2493,295,6,6,7,1,1,71,3,4,2,32,1,621,2,401,3,322,5,5,342,1,0,1672,5,15,3,4,2,945,245,334,0,182,99,11,4,114,79,1401,4,0,3,6,909,65,4,11,2,102,7,310,477,45,30,2,153,4,3,8454,73,0,71,253,11,0,28,188,7,816,2,3,2356,5,352,611,6,2,0,1,1791,1,3,2,922,4,0,28,2,3,8,6,1,13,9,4,1,752,5,4,7,222,1,3,4,124,11,7,99,41,2,25,5,464,2,10,2,4,4,4,4,5,0,254,4,2,0,6,290,4,3,5,3667,6,707,322,5,0,2,251,97,123,11,69,1716,561,3,3
RAP1B,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,4,0,0,1,0,1,1,0,1,0,3,0,1,2,0,2,2,0,0,1,1,2,0,1,2,1,2,0,0,0,0,0,1,0,2,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,2,0,0,1,2,1,1,0,0,0,0,0,2,5,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,1,0,1,1,0,0,1,2,0,1,1,0,0,0,0,2
HILPDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
VDAC1,0,0,2,1,12,1,1,0,0,1,2,0,1,0,3,5,1,0,2,1,2,2,2,1,0,5,2,1,1,1,1,1,4,6,2,2,0,4,3,3,3,3,0,0,11,2,0,1,0,9,0,1,3,1,0,1,8,0,0,6,4,5,0,2,2,7,0,0,1,5,2,0,0,4,5,1,4,4,9,0,6,2,0,0,0,0,2,1,0,2,8,1,2,1,0,0,1,2,4,21,2,17,0,0,0,6,0,4,0,7,0,0,0,1,0,4,3,3,5,1,0,3,0,1,3,1,5,4,1,0,0,1,0,0,1,13,3,4,3,1,1,1,3,0,0,0,0,1,5,14,1,1,1,0,0,0,1,8,1,1,1,6,2,1,0,4,4,0,0,0,3,0,4,8,2,2,0,0,5,0,0,1,1,1,0,6,4,6,0,3,2,0,2,3,0,0,1,0,0,0,0,0,0,0,2,6,1,0,0,3,3,0,0,0,0,1,1,2,2,0,0,1,1,0,0,4,1,3,0,7,9,3,1,5,0,0,4,2,1,8,4,0,6,0,2,5
RPL3,4,16,89,33,74,3,8,2,8,21,96,1,3,14,17,20,26,78,58,9,35,52,33,15,0,78,28,42,14,47,33,12,23,151,33,38,2,43,18,16,95,106,2,1,112,29,0,89,4,272,1,3,57,33,10,17,110,0,34,143,39,142,12,2,41,123,22,38,53,39,65,9,2,91,60,29,31,50,60,19,96,54,24,1,13,17,14,69,1,78,155,25,80,27,2,0,26,27,43,63,28,89,24,1,18,156,50,48,22,164,1,25,5,15,8,56,49,24,98,7,12,48,43,1,38,37,39,96,44,30,0,46,13,3,31,79,139,68,22,1,32,39,63,9,38,2,0,32,54,130,80,20,9,26,42,0,39,175,13,8,9,37,74,2,2,66,111,17,5,1,21,2,18,80,80,27,18,18,162,7,27,21,80,28,8,39,39,26,3,64,19,0,68,34,46,46,37,2,2,5,17,12,24,18,10,46,21,79,44,131,56,5,9,1,10,54,23,83,25,2,4,43,30,16,8,36,23,47,20,86,109,37,65,81,0,0,37,48,40,190,50,4,20,4,7,22
NFKBIZ,0,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,13,2,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,0,2,3,0,1,0,2,0,3,0,1,1,1,0,1,0,24,0,2,0,0,1,0,4,2,0,0,0,0,0,1,3,3,0,0,0,0,2,0,0,3,1,0,0,0,3,1,1,0,0,2,0,0,0,0,1,0,2,0,5,9,0,2,2,1,1,1,0,0,4,0,0,1,3,3,0,3,2,3,3,1,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,5,4,2,0,1,2,0,0,0,1,0,1,0,0,0,0,7,3,1,2,1,0,0,0,0,1,0,0,0,1,3,0,1,8,0,1,0,0,1,0,1,2,0,1,0,2,2,0,0,3,1,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,1,0,3,9,2,0,0,0,0,4,1,3,1,0,0,0,1,0,0,3,0,0,0,0,1,0,2,0,1,0,1,2,2,3,0,0,0,1,0,0
SEC31A,0,1,1,3,11,0,0,0,0,0,1,0,2,1,1,1,2,1,2,0,2,2,4,0,0,3,4,1,1,0,1,3,2,0,1,2,3,4,3,1,0,1,1,0,1,5,0,4,0,5,0,2,4,2,1,3,0,0,1,12,0,1,1,2,1,10,2,1,2,0,3,0,0,3,1,0,8,0,4,0,1,6,1,0,1,3,1,1,0,5,1,2,2,1,0,2,1,0,1,0,7,11,1,0,0,2,0,3,1,2,5,2,0,1,0,3,12,0,2,1,1,1,1,0,3,3,2,1,0,0,1,1,1,2,0,9,2,2,0,1,1,0,1,1,1,0,0,3,3,2,6,0,3,0,2,0,4,1,1,0,0,0,0,0,0,3,3,1,0,0,0,2,2,1,2,3,1,5,1,4,0,3,2,1,0,5,2,3,3,4,0,0,3,1,0,0,0,0,0,0,0,2,2,1,4,2,1,5,3,3,1,0,0,2,0,1,0,4,1,3,0,0,0,0,0,0,1,5,3,1,0,5,1,2,0,3,2,1,2,8,5,3,4,2,1,1
NASP,0,1,0,2,2,0,0,3,0,0,0,0,0,1,0,0,2,0,3,1,0,1,1,0,0,2,1,0,1,1,0,4,1,1,1,4,0,5,0,1,1,3,0,0,2,2,0,2,0,4,0,0,5,0,1,5,0,0,0,4,1,3,1,1,6,2,1,1,4,2,2,0,0,2,1,1,2,2,0,0,1,2,0,1,0,0,0,2,0,1,0,0,3,2,0,0,0,1,1,2,1,6,1,1,0,2,1,1,0,0,0,0,0,1,0,2,1,0,5,0,0,0,0,0,1,4,0,1,0,2,0,2,0,1,0,1,4,3,1,0,1,0,2,1,0,0,0,0,0,8,0,1,2,0,0,0,1,2,0,1,2,1,2,0,0,2,5,0,0,0,0,2,0,3,4,0,1,2,6,3,2,0,1,1,0,1,2,1,2,0,1,0,0,0,1,2,1,0,0,1,2,1,0,2,3,1,1,2,3,4,1,3,0,2,0,1,1,0,1,0,0,5,1,0,0,1,0,0,0,5,4,0,0,4,1,0,1,0,1,9,0,1,2,0,1,2
AGR3,0,3,6,0,32,1,0,0,1,0,0,0,0,0,0,0,7,1,23,0,0,0,0,0,0,31,0,5,0,0,0,8,0,9,0,0,0,0,0,3,11,21,2,2,54,10,2,10,0,42,1,0,6,0,2,12,28,0,0,48,0,10,0,1,10,26,0,0,0,0,15,0,0,21,10,0,1,0,0,0,45,0,0,2,4,0,0,6,0,0,17,0,13,7,1,0,0,0,27,33,0,0,0,0,4,17,0,0,0,2,0,2,0,9,0,16,0,0,9,0,0,3,0,2,0,0,0,27,2,3,0,1,5,0,0,40,26,31,0,0,0,0,19,5,0,0,0,0,0,46,8,7,2,0,13,0,1,39,6,0,2,17,5,0,0,8,0,3,0,0,2,2,4,8,0,0,0,0,35,5,0,0,21,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,7,13,0,2,34,0,63,0,2,10,0,0,1,0,0,0,0,0,10,1,0,0,0,10,1,0,0,39,0,13,27,0,0,0,32,20,29,0,3,45,1,0,0
